132,300
58,326
118,328
103,346
191,351
91,301
57,333
121,390
74,356
87,305
111,263
134,304
181,332
124,406
123,379
91,373
167,364
160,384
132,338
134,244
42,369
118,292
128,330
173,322
100,351
112,305
133,350
118,316
141,360
115,351
63,383
156,430
203,370
99,340
146,457
111,323
78,380
100,331
199,438
175,375
50,299
135,356
143,304
97,296
90,319
121,346
140,323
104,298
83,287
95,295
175,281
173,329
147,339
122,341
63,299
174,389
117,415
64,374
136,343
180,367
200,437
134,318
122,318
179,391
202,302
107,364
85,403
144,273
136,344
215,401
147,328
114,401
160,455
82,368
148,268
134,269
167,337
119,271
86,329
130,325
113,361
124,397
158,322
160,315
154,365
97,347
121,373
158,338
78,340
207,317
107,363
160,399
124,316
71,358
150,376
121,316
34,208
120,355
83,354
159,299
155,321
166,300
138,319
50,262
167,304
192,379
148,371
170,364
147,370
122,375
104,402
147,335
38,283
177,399
138,263
131,355
66,409
101,260
182,330
151,343
63,352
133,325
81,408
158,384
171,339
180,397
173,390
108,328
152,379
199,377
191,372
173,406
166,363
85,306
205,371
95,320
185,332
168,393
128,396
99,346
123,324
137,317
191,404
133,395
94,274
114,373
175,419
121,408
98,280
145,332
141,350
164,368
90,333
142,335
152,408
99,387
104,365
110,309
128,360
164,260
170,314
73,270
158,353
140,354
180,387
154,350
74,420
175,366
137,322
103,326
155,225
105,304
137,353
95,375
161,384
141,331
91,322
198,269
115,383
124,364
82,349
151,359
105,339
125,427
72,364
104,419
100,440
119,341
115,373
117,374
104,363
105,365
126,348
190,408
162,334
67,305
148,331
74,336
143,311
160,403
