391,239
326,291
368,173
358,285
339,245
388,257
348,255
336,283
350,299
355,268
373,236
254,220
225,209
277,297
253,204
390,261
334,244
323,292
341,318
375,254
351,228
299,280
286,246
300,248
349,277
315,248
266,219
295,191
318,267
290,255
335,262
342,303
341,275
371,335
286,231
254,275
316,241
303,228
360,236
288,233
328,201
305,251
366,219
314,278
328,293
170,195
295,285
345,314
346,265
345,210
330,218
294,221
317,252
391,242
262,218
257,252
374,255
346,264
301,227
327,251
317,212
271,229
360,224
364,197
370,353
258,202
322,157
342,263
329,239
365,231
395,293
345,267
367,246
359,260
302,220
260,305
311,266
267,177
251,199
292,266
300,236
253,172
357,258
302,265
342,244
299,291
353,307
367,270
410,315
334,254
371,208
347,258
331,203
317,251
374,269
421,293
372,269
345,276
378,211
285,211
417,236
363,248
246,224
317,209
308,175
312,216
355,214
405,316
275,204
307,194
334,272
280,274
409,282
271,195
396,265
311,257
319,206
254,287
290,209
428,224
326,253
366,293
305,170
287,276
292,255
276,210
355,227
264,263
307,249
415,250
307,245
361,253
371,190
260,226
334,316
292,316
410,169
289,194
336,222
349,213
320,293
397,283
385,293
291,177
357,328
398,278
443,221
328,217
290,197
240,176
247,231
362,240
308,233
326,323
310,258
316,273
300,214
291,253
318,195
300,269
328,256
340,218
339,229
318,262
360,244
380,271
297,196
372,269
362,215
277,318
387,222
305,264
249,202
280,308
368,223
298,250
337,224
244,250
316,209
395,340
309,191
353,260
313,265
298,193
364,251
334,268
360,206
383,270
325,280
262,244
317,172
311,301
408,245
295,224
330,215
343,205
383,234
275,210
399,305
358,322
